Game is Loss
KTS    ID     FD     KD     LT
16     1      0      15     15     
16     5      0      10     10     
17     7      0      9      9      
18     8      0      8      8      
19     6      0      12     12     
20     9      5      3      8      
21     4      0      17     17     
21     11     7      2      9      
23     12     5      5      10     
24     3      0      21     21     
27     13     5      7      12     
34     20     0      10     10     
37     24     4      5      9      
37     17     7      9      16     
40     27     8      1      9      
44     30     8      2      10     
44     2      0      43     43     
49     25     14     6      20     
54     33     3      15     18     
57     41     9      3      12     
57     48     5      4      9      
60     44     6      7      13     
62     51     9      1      10     
64     50     11     3      14     
64     22     3      35     38     
64     38     12     9      21     
65     45     7      11     18     
67     32     28     4      32     
68     52     13     2      15     
70     39     22     4      26     
71     55     11     2      13     
73     59     8      3      11     
74     54     9      9      18     
77     35     29     9      38     
77     58     9      6      15     
78     57     16     0      16     
78     46     25     6      31     
80     60     15     1      16     
84     63     16     3      19     
84     31     0      49     49     
85     42     35     3      38     
86     23     0      60     60     
86     49     30     7      37     
87     65     10     8      18     
88     69     11     4      15     
89     28     55     2      57     
91     26     58     4      62     
91     62     26     0      26     
93     43     41     5      46     
93     29     55     6      61     
93     66     18     4      22     
93     56     33     0      33     
97     76     10     5      15     
98     14     5      76     81     
102    70     13     14     27     
105    68     21     11     32     
106    79     14     6      20     
109    87     0      15     15     
111    64     42     2      44     
113    90     12     5      17     
113    74     10     23     33     
113    88     14     5      19     
119    85     13     15     28     
119    99     12     3      15     
121    91     2      22     24     
121    86     27     1      28     
121    82     23     9      32     
123    95     21     3      24     
124    84     25     10     35     
126    75     13     31     44     
126    21     3      97     100    
128    98     25     1      26     
131    40     82     4      86     
134    72     50     7      57     
139    96     29     10     39     
144    61     31     49     80     
146    101    34     8      42     
146    116    6      17     23     
146    122    15     2      17     
147    37     98     7      105    
147    112    24     7      31     
147    104    35     4      39     
148    117    23     0      23     
148    119    23     0      23     
153    121    11     14     25     
153    113    15     21     36     
153    124    17     4      21     
156    114    29     8      37     
158    115    22     15     37     
158    126    19     3      22     
161    130    9      11     20     
161    118    23     13     36     
163    105    51     3      54     
Castle Total Damage = 1000
Total Killed Enemies = 93
Total Alive Enemies = 157
Average First-Shot delay for killed enemies = 17.7634
Average Kill Delay for killed enemies = 11.129
