Game is Win
KTS    ID     FD     KD     LT
9      1      0      6      6      
18     8      0      9      9      
23     7      0      14     14     
24     2      0      19     19     
25     9      0      16     16     
26     3      0      20     20     
27     10     0      18     18     
40     4      0      34     34     
42     5      0      36     36     
Castle Total Damage = 9.70966
Total Killed Enemies = 9
Average First-Shot delay = 0
Average Kill Delay = 19.1111
